topology_type,n_agv,tasks_completed,throughput_tasks_per_hour,avg_task_completion_time_s,avg_wait_time_s,total_wait_time_s,reservation_failure_rate,reroute_count,node_occupancy_rate,edge_occupancy_rate,agv_utilization,total_travel_distance_m,max_queue_length,top_bottleneck_node,top_bottleneck_score,sim_time_s,wall_time_s,error
A,3,7,42.0,230.54,0.0,0.0,0.0,0,0.0,0.0432,0.9914,1825.89,1,,0.0,600.02,3.13,
A,5,12,72.0,232.3,0.0,0.0,0.0,0,0.0,0.0515,0.9831,2918.88,1,,0.0,600.02,4.0,
A,8,22,132.0,195.21,0.0,0.0,0.0,0,0.0,0.0605,0.9672,4408.88,1,,0.0,600.02,5.73,
A,12,31,185.99,214.06,0.0,0.0,0.0,0,0.0,0.0753,0.9525,6367.16,2,,0.0,600.02,8.7,
A,16,39,233.99,213.33,0.0,0.0,0.0,0,0.0,0.0914,0.9364,8629.55,2,,0.0,600.02,12.53,
B,3,13,78.0,125.26,0.0,0.0,0.0,0,0.0,0.0341,0.9916,766.55,1,,0.0,600.02,3.08,
B,5,10,60.0,254.14,0.0,0.0,0.0,0,0.0,0.04,0.9832,3056.58,1,,0.0,600.02,4.08,
B,8,19,114.0,202.59,0.0,0.0,0.0,0,0.0,0.0439,0.9707,4541.08,1,,0.0,600.02,5.84,
B,12,30,179.99,188.68,0.0,0.0,0.0,0,0.0,0.0587,0.954,6129.37,1,,0.0,600.02,8.85,
B,16,43,257.99,177.01,0.0,0.0,0.0,0,0.0,0.0704,0.937,8300.55,2,,0.0,600.02,12.48,
C,3,8,48.0,210.88,0.0,0.0,0.0,0,0.0,0.0409,0.9916,1766.4,0,,0.0,600.02,3.23,
C,5,10,60.0,111.18,0.0,0.0,0.0,0,0.0,0.0473,0.9832,3277.42,1,,0.0,600.02,4.16,
C,8,13,78.0,201.69,0.0,0.0,0.0,0,0.0,0.0491,0.9707,5164.71,1,,0.0,600.02,5.89,
C,12,11,66.0,284.11,0.0,0.0,0.0,0,0.0,0.0782,0.954,8929.83,1,,0.0,600.02,9.1,
C,16,9,54.0,289.21,0.0,0.0,0.0,0,0.0,0.0972,0.9373,12235.17,2,,0.0,600.02,12.59,
D,3,11,66.0,116.55,0.0,0.0,0.0,0,0.0,0.0361,0.9916,1462.0,0,,0.0,600.02,3.09,
D,5,13,78.0,203.45,0.0,0.0,0.0,0,0.0,0.0375,0.9832,2462.64,1,,0.0,600.02,4.0,
D,8,19,114.0,185.25,0.0,0.0,0.0,0,0.0,0.046,0.9707,4509.54,2,,0.0,600.02,5.76,
D,12,32,191.99,154.96,0.0,0.0,0.0,0,0.0,0.0516,0.954,6354.87,3,,0.0,600.02,8.89,
D,16,39,233.99,175.25,0.0,0.0,0.0,0,0.0,0.0627,0.9373,9024.52,1,,0.0,600.02,12.42,
E,3,11,66.0,150.99,0.0,0.0,0.0,0,0.0,0.0429,0.9916,1390.17,0,,0.0,600.02,3.19,
E,5,18,108.0,148.58,0.0,0.0,0.0,0,0.0,0.0438,0.9832,2248.25,0,,0.0,600.02,4.24,
E,8,23,138.0,169.46,0.0,0.0,0.0,0,0.0,0.0509,0.9707,4529.7,1,,0.0,600.02,5.88,
E,12,30,179.99,197.49,0.0,0.0,0.0,0,0.0,0.0634,0.954,6787.8,1,,0.0,600.02,8.7,
E,16,40,239.99,174.45,0.0,0.0,0.0,0,0.0,0.0734,0.9373,8587.86,1,,0.0,600.02,12.38,
