topology_type,n_agv,tasks_completed,throughput_tasks_per_hour,avg_task_completion_time_s,avg_wait_time_s,total_wait_time_s,reservation_failure_rate,reroute_count,node_occupancy_rate,edge_occupancy_rate,agv_utilization,total_travel_distance_m,max_queue_length,headon_total,retry_total,avg_retry_per_headon,top_bottleneck_node,top_bottleneck_score,top_headon_edge,top_headon_edge_count,sim_time_s,wall_time_s,error
A,8,92,184.0,166.66,0.0,0.0,0.0,0,0.0,0.0391,0.9935,10664.13,1,0,156,0.0,,0.0,,0,1800.02,17.08,
A,12,103,206.0,284.35,0.14,1.7,0.0277,0,0.0,0.0533,0.9074,17979.57,1,17,209,12.29,,0.0,WP_N_080__ST_N_02,17,1800.02,26.72,
A,16,115,230.0,311.71,0.48,7.7,0.083,0,0.0,0.0745,0.9253,27130.3,1,77,242,3.14,,0.0,ST_S_18__WP_S_240,58,1800.02,38.25,
A,20,235,469.99,366.05,0.0,0.0,0.0,0,0.0,0.0615,0.9265,23213.69,0,0,271,0.0,,0.0,,0,1800.02,52.33,
A,24,346,691.99,371.38,0.0,0.0,0.0,0,0.0,0.0381,0.8304,13876.0,0,0,329,0.0,,0.0,,0,1800.02,69.73,
B,8,112,224.0,122.11,3.37,27.0,0.4072,0,0.0,0.027,0.9923,8599.17,1,270,200,0.74,,0.0,WP_N_120__WP_N_160,215,1800.02,17.01,
B,12,138,276.0,146.03,13.13,157.6,0.752,1,0.0,0.0358,0.982,15860.2,1,1877,224,0.12,,0.0,WP_N_400__WP_N_360,384,1800.02,25.59,
B,16,178,356.0,157.62,6.47,103.6,0.7347,4,0.0,0.0423,0.9794,20898.94,1,2240,271,0.12,,0.0,WP_N_480__WP_N_520,258,1800.02,36.38,
B,20,200,400.0,170.16,11.91,238.2,0.8213,8,0.0,0.0544,0.9707,28783.17,2,4790,291,0.06,,0.0,WP_N_240__WP_N_280,517,1800.02,49.59,
B,24,235,469.99,174.24,13.25,317.9,0.8897,23,0.0,0.0601,0.957,34385.37,2,10102,337,0.03,,0.0,WP_N_160__WP_N_120,1174,1800.02,65.11,
C,8,71,142.0,173.3,1.75,14.0,0.2303,0,0.0,0.0368,0.9932,12991.44,0,140,133,0.95,,0.0,WP_NL1_640__ST_N_09,123,1800.02,17.54,
C,12,94,188.0,189.62,0.66,7.9,0.0969,0,0.0,0.047,0.9904,20693.18,1,79,189,2.39,,0.0,WP_SL1_400__ST_S_20,59,1800.02,26.23,
C,16,110,220.0,198.58,1.86,29.7,0.2207,0,0.0,0.0664,0.9864,30639.62,1,297,244,0.82,,0.0,ST_N_01__WP_NL1_000,72,1800.02,37.51,
C,20,146,292.0,207.61,0.55,11.1,0.0815,0,0.0,0.0694,0.9838,36346.81,1,111,314,2.83,,0.0,ST_N_01__WP_NL1_000,86,1800.02,49.87,
C,24,172,344.0,207.92,1.3,31.2,0.1711,0,0.0,0.0854,0.9799,44269.39,1,312,313,1.0,,0.0,WP_CL1_320__ST_C_12,108,1800.02,65.16,
D,8,102,204.0,133.26,1.91,15.3,0.2638,0,0.0,0.0224,0.9931,9601.44,1,153,179,1.17,,0.0,WP_NL1_480__WP_NL1_520,91,1800.02,17.07,
D,12,134,268.0,146.29,7.35,88.2,0.6367,1,0.0,0.0304,0.9853,16838.45,1,1183,239,0.2,,0.0,WP_NL1_040__WP_NL1_080,430,1800.02,25.79,
D,16,165,330.0,160.81,12.94,207.1,0.7606,3,0.0,0.0385,0.9771,24519.53,1,2974,257,0.09,,0.0,WP_NL1_040__WP_NL1_080,936,1800.02,36.86,
D,20,200,400.0,173.35,11.08,221.6,0.7592,4,0.0,0.0406,0.9743,28674.13,1,3420,273,0.08,,0.0,WP_NL1_560__WP_NL1_520,362,1800.02,50.09,
D,24,220,440.0,186.49,14.29,342.94,0.8311,11,0.0,0.0516,0.9648,37292.3,2,6741,288,0.04,,0.0,WP_NL1_080__WP_NL1_120,501,1800.02,66.53,
E,8,103,206.0,129.61,0.0,0.0,0.0,0,0.0,0.0247,0.9941,8876.7,0,0,165,0.0,,0.0,,0,1800.02,17.5,
E,12,150,300.0,135.9,6.81,81.7,0.6462,1,0.0,0.0351,0.9856,14982.97,1,1118,236,0.21,,0.0,WP_N_000__WP_N_040,262,1800.02,25.73,
E,16,174,348.0,161.81,12.8,204.8,0.8256,6,0.0,0.042,0.974,21311.31,2,3854,252,0.07,,0.0,WP_C_240__WP_C_280,439,1800.02,36.39,
E,20,224,448.0,163.48,9.84,196.9,0.8534,14,0.0,0.0504,0.9666,28177.06,2,6183,284,0.05,,0.0,WP_N_240__WP_N_200,404,1800.02,49.46,
E,24,243,485.99,174.75,10.67,256.2,0.8786,22,0.0,0.0611,0.9592,34954.84,2,9184,322,0.04,,0.0,WP_N_120__WP_N_160,479,1800.02,66.77,
